setting,k,CNN_1D_PyTorch,LogisticRegression,MLP,RandomForest,SVM
Mixed_QI,2,0.8288039306003377,0.8257331490864425,0.8019345923537541,0.814985413787809,0.8245048364808844
Mixed_QI,5,0.8288039306003377,0.826654383540611,0.8051589129433441,0.8148318747121143,0.8248119146322739
Mixed_QI,10,0.8289574696760326,0.8274220789190849,0.8000921234454169,0.8105327805926609,0.8255796100107478
Mixed_QI,20,0.828036235221864,0.8261937663135268,0.8000921234454169,0.8076155381544603,0.8255796100107478
Mixed_QI,50,0.8272685398433901,0.8255796100107478,0.8011668969752802,0.804544756640565,0.8255796100107478
Mixed_QI,100,0.8284968524489482,0.8255796100107478,0.8040841394134808,0.8080761553815446,0.8275756179947796
Numeric_QI,0,0.8570551205281745,0.855980346998311,0.8432366037156457,0.857362198679564,0.8601259020420697
Numeric_QI,2,0.8324888684170121,0.8329494856440964,0.8053124520190389,0.822815906648242,0.8271150007676954
Numeric_QI,5,0.833870720098265,0.833256563795486,0.799324428066943,0.8226623675725472,0.828650391524643
Numeric_QI,10,0.8331030247197911,0.8335636419468755,0.8068478427759865,0.8229694457239367,0.8265008444649163
Numeric_QI,20,0.8331030247197911,0.833256563795486,0.8022416705051436,0.822815906648242,0.8288039306003377
Numeric_QI,50,0.8326424074927069,0.831874712114233,0.804544756640565,0.8165208045447566,0.8278826961461692
Numeric_QI,100,0.8349454936281283,0.8326424074927069,0.8010133578995855,0.8159066482419776,0.831260555811454
