age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
"[18, 21]",Government,"[78817, 184135]",Higher,9,Single,Clerical,Not-in-family,White,Male,0,0,"[1, 20]",North-America,<=50K
"[18, 21]",Self-employed,"[78817, 184135]",Higher,9,Married,Management,Husband,White,Male,0,0,"[1, 20]",North-America,<=50K
"[18, 21]",Private,"[78817, 184135]",Secondary,9,Separated,Manual,Not-in-family,White,Male,0,0,"[1, 20]",North-America,<=50K
"[22, 31]",Private,"[39054, 175431]",Basic,9,Married,Manual,Husband,Black,Male,0,0,20,North-America,<=50K
"[22, 31]",Private,"[39054, 175431]",Higher,9,Married,Professional,Wife,Black,Female,0,0,20,Other,<=50K
33,Private,"[85043, 183612]",Higher,9,Married,Management,Wife,White,Female,0,0,20,North-America,<=50K
33,Private,"[85043, 183612]",Basic,9,Married,Service,Not-in-family,Black,Female,0,0,20,Other,<=50K
"[20, 21]",Self-employed,"[34506, 180052]",Secondary,"[9, 10]",Married,Management,Husband,White,Male,0,0,"[20, 35]",North-America,>50K
"[20, 21]",Private,"[34506, 180052]",Higher,"[9, 10]",Single,Professional,Not-in-family,White,Female,0,0,"[20, 35]",North-America,>50K
"[18, 26]",Private,"[88449, 174732]",Higher,9,Married,Management,Husband,White,Male,0,0,36,North-America,>50K
"[18, 26]",Private,"[88449, 174732]",Secondary,9,Married,Management,Husband,Black,Male,0,0,36,North-America,>50K
"[30, 35]",Government,"[33397, 177522]",Higher,9,Married,Professional,Husband,Asian-Pac-Islander,Male,0,0,"[20, 35]",Other,>50K
"[30, 35]",Private,"[33397, 177522]",Higher,9,Single,Clerical,Own-child,White,Female,0,0,"[20, 35]",North-America,<=50K
"[33, 36]",Private,"[131414, 141841]",Higher,"[9, 10]",Single,Sales,Not-in-family,Black,Male,0,0,36,North-America,<=50K
"[33, 36]",Private,"[131414, 141841]",Higher,"[9, 10]",Married,Manual,Husband,Asian-Pac-Islander,Male,0,0,36,Other,>50K
"[19, 24]",Private,"[156587, 169624]",Basic,"[9, 10]",Married,Manual,Husband,Amer-Indian-Eskimo,Male,0,0,"[37, 38]",Central-America,<=50K
"[19, 24]",Self-employed,"[156587, 169624]",Secondary,"[9, 10]",Single,Manual,Own-child,White,Male,0,0,"[37, 38]",North-America,<=50K
"[25, 26]",Private,"[105787, 165315]",Secondary,9,Single,Manual,Unmarried,White,Male,0,0,"[36, 37]",North-America,<=50K
"[25, 26]",Private,"[105787, 165315]",Basic,9,Married,Sales,Husband,White,Male,0,0,"[36, 37]",North-America,<=50K
27,Self-employed,"[23740, 39665]",Higher,9,Separated,Management,Unmarried,White,Female,0,0,"[37, 38]",North-America,>50K
27,Private,"[23740, 39665]",Higher,9,Married,Professional,Husband,White,Male,0,0,"[37, 38]",North-America,>50K
"[26, 29]",Private,"[135845, 183285]",Secondary,10,Separated,Service,Unmarried,Black,Female,0,0,"[36, 37]",North-America,<=50K
"[26, 29]",Government,"[135845, 183285]",Basic,10,Married,Manual,Husband,Black,Male,0,0,"[36, 37]",North-America,<=50K
"[29, 31]",Private,"[179681, 182162]",Basic,9,Married,Manual,Husband,White,Male,0,0,37,North-America,<=50K
"[29, 31]",Private,"[179681, 182162]",Secondary,9,Separated,Tech,Unmarried,White,Female,0,0,37,North-America,<=50K
31,Government,"[164309, 176711]",Higher,"[9, 10]",Married,Tech,Husband,White,Male,0,0,38,North-America,>50K
31,Private,"[164309, 176711]",Secondary,"[9, 10]",Single,Manual,Own-child,White,Male,0,0,38,North-America,<=50K
"[33, 36]",Other,"[44364, 110998]",Secondary,9,Married,Other,Husband,Asian-Pac-Islander,Male,0,0,36,Other,>50K
"[33, 36]",Private,"[44364, 110998]",Secondary,9,Separated,Management,Not-in-family,White,Male,0,0,36,North-America,<=50K
"[33, 37]",Private,"[166497, 175023]",Secondary,9,Married,Manual,Husband,White,Male,0,0,"[37, 38]",North-America,<=50K
"[33, 37]",Government,"[166497, 175023]",Higher,9,Single,Service,Not-in-family,White,Male,0,0,"[37, 38]",North-America,<=50K
"[23, 24]",Private,"[29810, 51985]",Secondary,9,Single,Sales,Own-child,Black,Male,0,0,38,North-America,<=50K
"[23, 24]",Private,"[29810, 51985]",Higher,9,Separated,Management,Own-child,White,Male,0,0,38,North-America,<=50K
"[19, 22]",Government,"[160398, 160811]",Secondary,"[9, 10]",Married,Clerical,Own-child,White,Male,0,0,38,North-America,<=50K
"[19, 22]",Government,"[160398, 160811]",Secondary,"[9, 10]",Married,Service,Husband,Black,Male,0,0,38,North-America,<=50K
"[18, 20]",Private,"[162688, 177578]",Basic,9,Single,Manual,Unmarried,White,Male,0,0,38,Other,<=50K
"[18, 20]",Private,"[162688, 177578]",Secondary,9,Single,Manual,Own-child,White,Male,0,0,38,North-America,<=50K
"[20, 21]",Private,"[164991, 177287]",Secondary,9,Married,Clerical,Wife,White,Female,0,0,38,North-America,<=50K
"[20, 21]",Private,"[164991, 177287]",Secondary,9,Married,Sales,Husband,White,Male,0,0,38,Other,>50K
"[25, 28]",Self-employed,"[70604, 109526]",Higher,9,Married,Professional,Husband,White,Male,0,0,38,North-America,<=50K
"[25, 28]",Private,"[70604, 109526]",Basic,9,Married,Manual,Husband,White,Male,0,0,38,North-America,<=50K
"[24, 25]",Self-employed,"[124111, 165474]",Higher,9,Married,Professional,Husband,White,Male,0,0,"[38, 39]",North-America,<=50K
"[24, 25]",Private,"[124111, 165474]",Higher,9,Married,Tech,Husband,White,Male,0,0,"[38, 39]",North-America,<=50K
"[24, 27]",Private,"[152176, 167336]",Secondary,10,Separated,Clerical,Unmarried,White,Female,0,0,39,North-America,<=50K
"[24, 27]",Private,"[152176, 167336]",Secondary,10,Single,Manual,Not-in-family,White,Male,0,0,39,North-America,<=50K
"[27, 28]",Government,"[129882, 160178]",Higher,10,Married,Professional,Husband,Black,Male,0,0,"[38, 40]",North-America,>50K
"[27, 28]",Private,"[129882, 160178]",Secondary,10,Married,Manual,Husband,White,Male,0,0,"[38, 40]",North-America,<=50K
29,Private,"[29361, 34292]",Higher,9,Separated,Management,Unmarried,White,Female,0,0,38,North-America,<=50K
