accuracy,misclassification_rate,precision,recall,auc,model,dataset,k,setting
0.8288039306003377,0.17119606939966225,0.6940874035989717,0.5165816326530612,0.8722839628773653,CNN_1D_PyTorch,k=2,2,Mixed_QI
0.8288039306003377,0.17119606939966225,0.6921119592875318,0.5204081632653061,0.871742677101174,CNN_1D_PyTorch,k=5,5,Mixed_QI
0.8289574696760326,0.17104253032396743,0.6910774410774411,0.5235969387755102,0.8727734673242402,CNN_1D_PyTorch,k=10,10,Mixed_QI
0.828036235221864,0.17196376477813602,0.6944444444444444,0.5102040816326531,0.8713519634345145,CNN_1D_PyTorch,k=20,20,Mixed_QI
0.8272685398433901,0.1727314601566099,0.6911130284728214,0.5108418367346939,0.8718745486060956,CNN_1D_PyTorch,k=50,50,Mixed_QI
0.8284968524489482,0.17150314755105178,0.6896551724137931,0.5229591836734694,0.8723241369348548,CNN_1D_PyTorch,k=100,100,Mixed_QI
0.8257331490864425,0.17426685091355754,0.6805671392827356,0.5204081632653061,0.870892186500485,LogisticRegression,k=2,2,Mixed_QI
0.826654383540611,0.17334561645938895,0.683069224353628,0.5223214285714286,0.871192169992365,LogisticRegression,k=5,5,Mixed_QI
0.8274220789190849,0.17257792108091508,0.685,0.5242346938775511,0.8714142557933182,LogisticRegression,k=10,10,Mixed_QI
0.8261937663135268,0.1738062336864732,0.6807628524046434,0.5235969387755102,0.8710992473329069,LogisticRegression,k=20,20,Mixed_QI
0.8255796100107478,0.17442038998925224,0.6791044776119403,0.5223214285714286,0.8710976996966632,LogisticRegression,k=50,50,Mixed_QI
0.8255796100107478,0.17442038998925224,0.6791044776119403,0.5223214285714286,0.8710835775159408,LogisticRegression,k=100,100,Mixed_QI
0.8019345923537541,0.19806540764624592,0.597887323943662,0.5414540816326531,0.8331578485792699,MLP,k=2,2,Mixed_QI
0.8051589129433441,0.19484108705665593,0.6049122807017544,0.5497448979591837,0.8380465735333567,MLP,k=5,5,Mixed_QI
0.8000921234454169,0.19990787655458309,0.590599455040872,0.5529336734693877,0.8337295712015849,MLP,k=10,10,Mixed_QI
0.8000921234454169,0.19990787655458309,0.5935302390998594,0.5382653061224489,0.8337685845318916,MLP,k=20,20,Mixed_QI
0.8011668969752802,0.1988331030247198,0.5906976744186047,0.5669642857142857,0.8370160412496647,MLP,k=50,50,Mixed_QI
0.8040841394134808,0.19591586058651922,0.5983827493261455,0.5663265306122449,0.8387159262087038,MLP,k=100,100,Mixed_QI
0.814985413787809,0.18501458621219102,0.6421299921691465,0.5229591836734694,0.8534044773116527,RandomForest,k=2,2,Mixed_QI
0.8148318747121143,0.18516812528788573,0.6427444794952681,0.5197704081632653,0.8525248395617093,RandomForest,k=5,5,Mixed_QI
0.8105327805926609,0.18946721940733913,0.631083202511774,0.5127551020408163,0.848442110666309,RandomForest,k=10,10,Mixed_QI
0.8076155381544603,0.1923844618455397,0.6245059288537549,0.5038265306122449,0.8392601138028517,RandomForest,k=20,20,Mixed_QI
0.804544756640565,0.19545524335943498,0.6142525174283501,0.5057397959183674,0.8338752424630114,RandomForest,k=50,50,Mixed_QI
0.8080761553815446,0.19192384461845535,0.625,0.5070153061224489,0.8347754508780257,RandomForest,k=100,100,Mixed_QI
0.8245048364808844,0.17549516351911565,0.6802374893977947,0.5114795918367347,0.8500126390293224,SVM,k=2,2,Mixed_QI
0.8248119146322739,0.17518808536772612,0.6835769561478934,0.5070153061224489,0.8485884912610139,SVM,k=5,5,Mixed_QI
0.8255796100107478,0.17442038998925224,0.6858864027538726,0.5082908163265306,0.8495015321598811,SVM,k=10,10,Mixed_QI
0.8255796100107478,0.17442038998925224,0.6858864027538726,0.5082908163265306,0.8511529245166216,SVM,k=20,20,Mixed_QI
0.8255796100107478,0.17442038998925224,0.6862068965517242,0.5076530612244898,0.8537650765564062,SVM,k=50,50,Mixed_QI
0.8275756179947796,0.17242438200522037,0.6926406926406926,0.5102040816326531,0.8512969191721178,SVM,k=100,100,Mixed_QI
0.8570551205281745,0.14294487947182555,0.7621399176954733,0.5905612244897959,0.9136406079115165,CNN_1D_PyTorch,original,0,Numeric_QI
0.8324888684170121,0.16751113158298792,0.6882399368587214,0.5561224489795918,0.8789131337570417,CNN_1D_PyTorch,k=2,2,Numeric_QI
0.833870720098265,0.16612927990173498,0.686923076923077,0.5695153061224489,0.878451164338334,CNN_1D_PyTorch,k=5,5,Numeric_QI
0.8331030247197911,0.16689697528020886,0.6865787432117921,0.5644132653061225,0.8793364767545035,CNN_1D_PyTorch,k=10,10,Numeric_QI
0.8331030247197911,0.16689697528020886,0.6840091813312931,0.5701530612244898,0.8790802784713482,CNN_1D_PyTorch,k=20,20,Numeric_QI
0.8326424074927069,0.1673575925072931,0.6852713178294574,0.5637755102040817,0.8785861311157425,CNN_1D_PyTorch,k=50,50,Numeric_QI
0.8349454936281283,0.1650545063718717,0.7018837018837019,0.5465561224489796,0.8796447787911928,CNN_1D_PyTorch,k=100,100,Numeric_QI
0.855980346998311,0.14401965300168895,0.7397260273972602,0.6198979591836735,0.909838452570108,LogisticRegression,original,0,Numeric_QI
0.8329494856440964,0.16705051435590357,0.702020202020202,0.5318877551020408,0.8805875472029054,LogisticRegression,k=2,2,Numeric_QI
0.833256563795486,0.16674343620451404,0.7021812080536913,0.5338010204081632,0.8808291074265905,LogisticRegression,k=5,5,Numeric_QI
0.8335636419468755,0.1664363580531245,0.7033613445378152,0.5338010204081632,0.8809582705680857,LogisticRegression,k=10,10,Numeric_QI
0.833256563795486,0.16674343620451404,0.7025210084033613,0.5331632653061225,0.880574263325148,LogisticRegression,k=20,20,Numeric_QI
0.831874712114233,0.16812528788576697,0.69957805907173,0.5286989795918368,0.8804715389694806,LogisticRegression,k=50,50,Numeric_QI
0.8326424074927069,0.1673575925072931,0.7008403361344537,0.5318877551020408,0.8807276082829492,LogisticRegression,k=100,100,Numeric_QI
0.8432366037156457,0.15676339628435432,0.7083015993907082,0.5931122448979592,0.8878538928210313,MLP,original,0,Numeric_QI
0.8053124520190389,0.1946875479809611,0.6132930513595166,0.5178571428571429,0.8357180903200512,MLP,k=2,2,Numeric_QI
0.799324428066943,0.20067557193305696,0.5964523281596452,0.5146683673469388,0.8347441112440932,MLP,k=5,5,Numeric_QI
0.8068478427759865,0.19315215722401347,0.6172465960665658,0.5204081632653061,0.8320162089102577,MLP,k=10,10,Numeric_QI
0.8022416705051436,0.1977583294948564,0.6114649681528662,0.4897959183673469,0.832933118899734,MLP,k=20,20,Numeric_QI
0.804544756640565,0.19545524335943498,0.6175298804780877,0.4942602040816326,0.8295224510431067,MLP,k=50,50,Numeric_QI
0.8010133578995855,0.1989866421004145,0.6025641025641025,0.5095663265306123,0.8276359469470296,MLP,k=100,100,Numeric_QI
0.857362198679564,0.14263780132043602,0.7327021121631464,0.6415816326530612,0.9068095994717401,RandomForest,original,0,Numeric_QI
0.822815906648242,0.177184093351758,0.6663987138263665,0.5286989795918368,0.8644883901487794,RandomForest,k=2,2,Numeric_QI
0.8226623675725472,0.17733763242745282,0.6640190627482129,0.5331632653061225,0.8622459942015229,RandomForest,k=5,5,Numeric_QI
0.8229694457239367,0.1770305542760633,0.6658673061550759,0.53125,0.8608015981923607,RandomForest,k=10,10,Numeric_QI
0.822815906648242,0.177184093351758,0.6710743801652893,0.5178571428571429,0.8616921983656962,RandomForest,k=20,20,Numeric_QI
0.8165208045447566,0.18347919545524338,0.648605577689243,0.5191326530612245,0.8550459390024968,RandomForest,k=50,50,Numeric_QI
0.8159066482419776,0.18409335175802244,0.6440281030444965,0.5261479591836735,0.8504920838406143,RandomForest,k=100,100,Numeric_QI
0.8601259020420697,0.13987409795793027,0.7672904800650936,0.6014030612244898,0.9065576571882544,SVM,original,0,Numeric_QI
0.8271150007676954,0.1728849992323046,0.6945422535211268,0.5031887755102041,0.8632881982418853,SVM,k=2,2,Numeric_QI
0.828650391524643,0.17134960847535696,0.6972076788830716,0.5095663265306123,0.8632884561812593,SVM,k=5,5,Numeric_QI
0.8265008444649163,0.17349915553508366,0.6934628975265018,0.5006377551020408,0.862891809908999,SVM,k=10,10,Numeric_QI
0.8288039306003377,0.17119606939966225,0.7006200177147919,0.5044642857142857,0.8632090108540889,SVM,k=20,20,Numeric_QI
0.8278826961461692,0.17211730385383084,0.6965699208443272,0.5051020408163265,0.8634472823507564,SVM,k=50,50,Numeric_QI
0.831260555811454,0.16873944418854603,0.7058823529411765,0.5127551020408163,0.863979024370112,SVM,k=100,100,Numeric_QI
