accuracy,misclassification_rate,precision,recall,auc,model,dataset,k,setting
0.855980346998311,0.14401965300168895,0.7397260273972602,0.6198979591836735,0.909838452570108,LogisticRegression,original,0,Numeric_QI
0.8329494856440964,0.16705051435590357,0.702020202020202,0.5318877551020408,0.8805875472029054,LogisticRegression,k=2,2,Numeric_QI
0.833256563795486,0.16674343620451404,0.7021812080536913,0.5338010204081632,0.8808291074265905,LogisticRegression,k=5,5,Numeric_QI
0.8335636419468755,0.1664363580531245,0.7033613445378152,0.5338010204081632,0.8809582705680857,LogisticRegression,k=10,10,Numeric_QI
0.833256563795486,0.16674343620451404,0.7025210084033613,0.5331632653061225,0.880574263325148,LogisticRegression,k=20,20,Numeric_QI
0.831874712114233,0.16812528788576697,0.69957805907173,0.5286989795918368,0.8804715389694806,LogisticRegression,k=50,50,Numeric_QI
0.8326424074927069,0.1673575925072931,0.7008403361344537,0.5318877551020408,0.8807276082829492,LogisticRegression,k=100,100,Numeric_QI
0.8432366037156457,0.15676339628435432,0.7083015993907082,0.5931122448979592,0.8878538928210313,MLP,original,0,Numeric_QI
0.8053124520190389,0.1946875479809611,0.6132930513595166,0.5178571428571429,0.8357180903200512,MLP,k=2,2,Numeric_QI
0.799324428066943,0.20067557193305696,0.5964523281596452,0.5146683673469388,0.8347441112440932,MLP,k=5,5,Numeric_QI
0.8068478427759865,0.19315215722401347,0.6172465960665658,0.5204081632653061,0.8320162089102577,MLP,k=10,10,Numeric_QI
0.8022416705051436,0.1977583294948564,0.6114649681528662,0.4897959183673469,0.832933118899734,MLP,k=20,20,Numeric_QI
0.804544756640565,0.19545524335943498,0.6175298804780877,0.4942602040816326,0.8295224510431067,MLP,k=50,50,Numeric_QI
0.8010133578995855,0.1989866421004145,0.6025641025641025,0.5095663265306123,0.8276359469470296,MLP,k=100,100,Numeric_QI
0.857362198679564,0.14263780132043602,0.7327021121631464,0.6415816326530612,0.9068095994717401,RandomForest,original,0,Numeric_QI
0.822815906648242,0.177184093351758,0.6663987138263665,0.5286989795918368,0.8644883901487794,RandomForest,k=2,2,Numeric_QI
0.8226623675725472,0.17733763242745282,0.6640190627482129,0.5331632653061225,0.8622459942015229,RandomForest,k=5,5,Numeric_QI
0.8229694457239367,0.1770305542760633,0.6658673061550759,0.53125,0.8608015981923607,RandomForest,k=10,10,Numeric_QI
0.822815906648242,0.177184093351758,0.6710743801652893,0.5178571428571429,0.8616921983656962,RandomForest,k=20,20,Numeric_QI
0.8165208045447566,0.18347919545524338,0.648605577689243,0.5191326530612245,0.8550459390024968,RandomForest,k=50,50,Numeric_QI
0.8159066482419776,0.18409335175802244,0.6440281030444965,0.5261479591836735,0.8504920838406143,RandomForest,k=100,100,Numeric_QI
0.8601259020420697,0.13987409795793027,0.7672904800650936,0.6014030612244898,0.9065576571882544,SVM,original,0,Numeric_QI
0.8271150007676954,0.1728849992323046,0.6945422535211268,0.5031887755102041,0.8632881982418853,SVM,k=2,2,Numeric_QI
0.828650391524643,0.17134960847535696,0.6972076788830716,0.5095663265306123,0.8632884561812593,SVM,k=5,5,Numeric_QI
0.8265008444649163,0.17349915553508366,0.6934628975265018,0.5006377551020408,0.862891809908999,SVM,k=10,10,Numeric_QI
0.8288039306003377,0.17119606939966225,0.7006200177147919,0.5044642857142857,0.8632090108540889,SVM,k=20,20,Numeric_QI
0.8278826961461692,0.17211730385383084,0.6965699208443272,0.5051020408163265,0.8634472823507564,SVM,k=50,50,Numeric_QI
0.831260555811454,0.16873944418854603,0.7058823529411765,0.5127551020408163,0.863979024370112,SVM,k=100,100,Numeric_QI
